Acronym,Expansion,Explanatory URL or Comments
ADD,Added Functions,
AFP,Application FP Count,AFPa=After Enhancement ; AFPb=Before Enhancement
CFP,Conversion Functions,
CHGA,Changed Functions,
CPM,Counting Practices Manual,
DEL,Deleted Functions,
DET,Data Element Type,
DFP,Development FP Count,
EFP,Enhancement FP Count,
EI,External Inputs (Transactional Function),
EIF,External Interface Files (Data Function),
EO,External Outputs (Transactional Function),
EQ,External Inquiries (Transactional Function),
FP,Function Points,
FPA,Function Point Analysis,
FTR,File Types Referenced,
GSC,General System Characteristics,
IFPUG,International Function Point Users Group,
ILF,Internal Logincal Files (Data Function),
RET,Record Element Type (optional/mandatory),
SNAP,Software Non-functional Assessment Process,
TDI,Total Degree of Influence,
VAF,Value Adjustment Factor,VAFa=After Project ; VAFb=Before Project
