"Name","Rule ID","Description","Impact","Section 508","Super Waggy"
Duplicate Aria ID,duplicate-id-aria,,,false,false
Image Alt Tag,image-alt,,,false,false
HTML has Lang stuff,html-has-lang,,,false,false
,document-title,,,false,false
Refreshing Meta,meta-refresh,"Ensures <meta http-equiv=""refresh""> is not used for delayed refresh",Critical,false,true
,html-lang-valid,,,false,false
,avoid-inline-spacing,Ensure that text spacing set through style attributes can be adjusted with custom stylesheets,Serious,false,false
,aria-allowed-role,Ensures role attribute has an appropriate value for the element,Minor,false,false
,skip-link,Ensure all skip links have a focusable target,Moderate,false,false
,hidden-content,Informs users about hidden content.,Minor,false,false
,nested-interactive,Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,Serious,false,true
,no-autoplay-audio,Ensures <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio,Moderate,false,true
,object-alt,Ensures <object> elements have alternate text,Serious,true,true
,aria-required-parent,Ensures elements with an ARIA role that require parent roles are contained by them,Critical,false,true
,aria-toggle-field-name,Ensures every ARIA toggle field has an accessible name,"Moderate, Serious",false,true
,aria-tooltip-name,Ensures every ARIA tooltip node has an accessible name,Serious,false,true
,aria-valid-attr-value,Ensures all ARIA attributes have valid values,"Serious, Critical",false,true
,aria-valid-attr,Ensures attributes that begin with aria- are valid ARIA attributes,Critical,false,true
,aria-dpub-role-fallback,,,false,false
,radiogroup,,,false,false
,layout-table,,,false,false
,checkboxgroup,,,false,false
,video-description,,,false,false
,landmark-complementary-is-top-level,Ensures the complementary landmark or aside is at top level,Moderate,false,false
,landmark-contentinfo-is-top-level,Ensures the contentinfo landmark is at top level,Moderate,false,false
,landmark-main-is-top-level,Ensures the main landmark is at top level,Moderate,false,false
,landmark-no-duplicate-main,Ensures the document has at most one main landmark,Moderate,false,false
,presentation-role-conflict,Elements marked as presentational should not have global ARIA or tabindex to ensure all screen readers ignore them,Minor,false,false
,region,Ensures all page content is contained by landmarks,Moderate,false,false
,scope-attr-valid,Ensures the scope attribute is used correctly on tables,"Moderate, Critical",false,false
,color-contrast-enhanced,Ensures the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds,Serious,false,true
,duplicate-id,,,false,false
,identical-links-same-purpose,Ensure that links with the same accessible name serve a similar purpose,Minor,false,true
,frame-title-unique,,,false,false
,duplicate-id-active,,,false,false
,html-xml-lang-mismatch,,,false,false
,css-orientation-lock,"Ensures content is not locked to any specific display orientation, and the content is operable in all display orientations",Serious,false,true
,frame-title,,,false,false
,accesskeys,Ensures every accesskey attribute value is unique,Serious,false,false
,bypass,Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content,Serious,true,true
,aria-dialog-name,Ensures every ARIA dialog and alertdialog node has an accessible name,Serious,false,false
,aria-text,"Ensures ""role=text"" is used on elements with no focusable descendants",Serious,false,false
,aria-treeitem-name,Ensures every ARIA treeitem node has an accessible name,Serious,false,false
,empty-heading,Ensures headings have discernible text,Minor,false,false
Empty Table Header,empty-table-header,Ensures table headers have discernible text,Minor,false,false
Iframe Tested,frame-tested,Ensures <iframe> and <frame> elements contain the axe-core script,Critical,false,false
,heading-order,Ensures the order of headings is semantically correct,Moderate,false,false
,image-redundant-alt,Ensure image alternative is not repeated as text,Minor,false,false
,label-title-only,"Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes",Serious,false,false
,landmark-banner-is-top-level,Ensures the banner landmark is at top level,Moderate,false,false
,landmark-no-duplicate-banner,Ensures the document has at most one banner landmark,Moderate,false,false
